time;avg_velo;frac_wait;numb_cars
41460.00000016935;3.3003025983075406E-4;0.09739368998628258;1458
41520.00000017284;8.80096300576975E-6;0.10342465753424658;1460
41580.00000017633;1.5873228966213816E-7;0.09679618268575324;1467
41640.000000179825;2.071163505994036E-4;0.09727891156462586;1470
41700.00000018332;0.0025813936667942986;0.09572301425661914;1473
41760.00000018681;1.8987256391899655E-13;0.09681787406905891;1477
41820.0000001903;4.1819212506374234E-14;0.09588116137744768;1481
41880.000000193795;1.0583458820710798E-8;0.0964261631827377;1483
41940.00000019729;0.0015051481390031699;0.0961021505376344;1488
42000.00000020078;4.2975418947536104E-4;0.11737089201877934;1491
42060.00000020427;0.0027024624204885304;0.10234113712374582;1495
42120.000000207765;0.015710049135548257;0.09425133689839572;1496
42180.00000021126;3.6871960020468035E-12;0.09472981987991995;1499
42240.00000021475;0.004720011024894508;0.09441489361702128;1504
42300.00000021824;0.0010099134055845196;0.09688122096881222;1507
42360.000000221735;4.329140787737032E-14;0.09470198675496688;1510
42420.00000022523;2.4834530616895073E-4;0.09504950495049505;1515
42480.00000022872;4.343441976006187E-14;0.0955833882663151;1517
42540.00000023221;3.4202896646148655E-4;0.09539473684210527;1520
42600.000000235705;4.64951742259445E-14;0.09598948060486522;1521
42660.0000002392;0.03318566264736505;0.09652002626395273;1523
42720.00000024269;0.024420651974867348;0.09554973821989529;1528
42780.00000024618;0.02802256180717355;0.09582790091264667;1534
42840.000000249674;4.139844588159235E-5;0.09545454545454546;1540
42900.00000025317;3.503115278910282E-4;0.0944372574385511;1546
42960.00000025666;4.57062818324063E-14;0.09477756286266925;1551
43020.00000026015;0.010748351909262682;0.09401159047005796;1553
43080.000000263644;3.195834525399564E-4;0.09499358151476252;1558
43140.00000026714;5.568022045168346E-11;0.09660908509277032;1563
43200.00000027063;4.2418855466852185E-7;0.09253350350989151;1567
43260.00000027412;4.2921145102884985E-14;0.09177820267686425;1569
43320.000000277614;5.243582345802487E-7;0.0940279542566709;1574
43380.00000028111;4.3184705485067406E-14;0.09275730622617535;1574
43440.0000002846;0.007134294458618601;0.09258084971464807;1577
43500.00000028809;4.318311210241544E-14;0.09246358454718176;1579
43560.000000291584;3.3794610079267216E-4;0.0928030303030303;1584
43620.00000029508;4.284190042925424E-14;0.09182389937106918;1590
43680.00000029857;4.297411307674246E-14;0.09188168659534299;1589
43740.00000030206;1.9563535791971952E-10;0.09239472030169704;1591
43800.000000305554;6.138571922717148E-4;0.09147869674185463;1596
43860.000000309046;4.272112080228887E-14;0.09193245778611632;1599
43920.00000031254;4.153733128986917E-6;0.09226932668329177;1604
43980.00000031603;0.0015954265083363076;0.09203980099502487;1608
44040.000000319524;0.002629858501601688;0.09124767225325885;1611
44100.000000323016;4.1497164707169907E-7;0.09344059405940594;1616
44160.00000032651;4.2512542334083064E-14;0.09147095179233622;1618
44220.00000033;4.2512542334083064E-14;0.09147095179233622;1618
44280.00000033349;4.246005771391753E-14;0.09135802469135802;1620
44340.000000336986;4.271572564447717E-14;0.09247842170160296;1622
44400.00000034048;4.2336269972402587E-14;0.09163591635916359;1626
44460.00000034397;4.361054044722773E-14;0.09275184275184276;1628
44520.00000034746;4.23286973311934E-14;0.09196811771919068;1631
44580.000000350956;4.219933089680712E-14;0.09229828850855745;1636
44640.00000035445;4.217355244176936E-14;0.09224190592547343;1637
44700.00000035794;3.648640997379386E-13;0.09273947528981086;1639
44760.00000036143;1.238230305083282E-7;0.09251369446135119;1643
44820.000000364926;1.244743829328097E-13;0.09234507897934387;1646
44880.00000036842;2.3783953313557589E-4;0.09217707701637357;1649
44940.00000037191;4.2097683310688405E-14;0.09184290030211481;1655
45000.0000003754;2.7908848432371393E-4;0.09167671893848009;1658
45060.000000378895;6.154340845389902E-6;0.09265944645006016;1662
45120.00000038239;4.2006534060559806E-14;0.09183673469387756;1666
45180.00000038588;3.23414361101121E-4;0.09167165967645297;1669
45240.00000038937;0.011347003077443471;0.09210526315789473;1672
45300.000000392865;0.005078203821775542;0.09313432835820895;1675
45360.00000039636;5.013745477097907E-12;0.09231685527099463;1679
45420.00000039985;4.1766524067537307E-14;0.09204275534441805;1684
45480.00000040334;4.171697896188186E-14;0.09193357058125741;1686
45540.000000406835;2.145313602523443E-12;0.0924170616113744;1688
45600.00000041033;4.1895441404449684E-14;0.09177027827116636;1689
45660.00000041382;4.1895441404449684E-14;0.09177027827116636;1689
45720.00000041731;9.467082210671249E-10;0.09208972845336481;1694
45780.000000420805;0.004244915700336513;0.09144542772861357;1695
45840.0000004243;4.172146542043611E-14;0.09133765468473777;1697
